SucursalID,nombre,tipo,GeografiaID,provincia,ciudad,region,m2_ventas,empleados,fecha_apertura,flag_activa
31,RetailIQ Morón 31,Tienda grande,10,Buenos Aires GBA Oeste,Morón,AMBA,1209,69,2022-11-19,1
32,RetailIQ San Miguel de Tucumán 32,Tienda grande,47,Tucumán,San Miguel de Tucumán,NOA,1446,43,2019-05-20,1
33,RetailIQ San Luis Capital 33,Tienda chica,66,San Luis,San Luis Capital,Cuyo,153,19,2026-03-02,1
34,RetailIQ Río Cuarto 34,Tienda grande,32,Córdoba,Río Cuarto,Centro,1662,86,2021-07-17,1
35,RetailIQ Corrientes Capital 35,Tienda grande,25,Corrientes,Corrientes Capital,Litoral,2534,47,2018-12-28,1
36,RetailIQ Corrientes Capital 36,Tienda chica,25,Corrientes,Corrientes Capital,Litoral,387,14,2023-01-07,0
37,RetailIQ Córdoba Capital 37,Dark store,30,Córdoba,Córdoba Capital,Centro,265,44,2020-10-24,1
38,RetailIQ Yerba Buena 38,Tienda grande,48,Tucumán,Yerba Buena,NOA,1822,76,2025-05-17,1
39,RetailIQ Vicente López 39,Dark store,7,Buenos Aires GBA Norte,Vicente López,AMBA,212,99,2023-09-02,0
40,RetailIQ Río Gallegos 40,Tienda grande,43,Santa Cruz,Río Gallegos,Sur,1242,65,2023-08-01,1
41,RetailIQ Caleta Olivia 41,Tienda grande,44,Santa Cruz,Caleta Olivia,Sur,1732,29,2025-11-08,1
42,RetailIQ Belgrano 42,Tienda grande,3,Ciudad Autónoma de Buenos Aires,Belgrano,AMBA,2886,73,2025-08-26,1
43,RetailIQ La Matanza 43,Tienda chica,11,Buenos Aires GBA Oeste,La Matanza,AMBA,119,60,2021-05-25,1
44,RetailIQ Río Gallegos 44,Tienda grande,43,Santa Cruz,Río Gallegos,Sur,1578,60,2023-03-26,1
45,RetailIQ San Fernando del Valle de Catamarca 45,Tienda grande,57,Catamarca,San Fernando del Valle de Catamarca,NOA,1086,89,2019-12-16,1
46,RetailIQ Río Cuarto 46,Tienda chica,32,Córdoba,Río Cuarto,Centro,306,75,2024-04-25,1
47,RetailIQ Lomas de Zamora 47,Tienda chica,15,Buenos Aires GBA Sur,Lomas de Zamora,AMBA,307,5,2018-11-30,1
48,RetailIQ Moreno 48,Tienda chica,13,Buenos Aires GBA Oeste,Moreno,AMBA,361,120,2018-09-17,0
49,RetailIQ Río Cuarto 49,Tienda chica,32,Córdoba,Río Cuarto,Centro,147,91,2023-12-12,1
50,RetailIQ Viedma 50,Tienda grande,37,Río Negro,Viedma,Sur,2746,118,2020-04-05,1
